date,value,source
2025-12-29,52.121,open.er-api/frankfurter
2025-12-30,52.066,open.er-api/frankfurter
2025-12-31,51.816,open.er-api/frankfurter
2026-01-02,52.035,open.er-api/frankfurter
2026-01-05,51.892,open.er-api/frankfurter
2026-01-06,52.165,open.er-api/frankfurter
2026-01-07,51.97,open.er-api/frankfurter
2026-01-08,51.686,open.er-api/frankfurter
2026-01-09,51.64,open.er-api/frankfurter
2026-01-12,52.008,open.er-api/frankfurter
2026-01-13,51.975,open.er-api/frankfurter
2026-01-14,51.82,open.er-api/frankfurter
2026-01-15,51.842,open.er-api/frankfurter
2026-01-16,52.233,open.er-api/frankfurter
2026-01-19,52.592,open.er-api/frankfurter
2026-01-20,53.08,open.er-api/frankfurter
2026-01-21,53.739,open.er-api/frankfurter
2026-01-22,53.852,open.er-api/frankfurter
2026-01-23,54.324,open.er-api/frankfurter
2026-01-26,54.641,open.er-api/frankfurter
2026-01-27,54.9,open.er-api/frankfurter
2026-01-28,55.436,open.er-api/frankfurter
2026-01-29,55.874,open.er-api/frankfurter
2026-01-30,55.738,open.er-api/frankfurter
2026-02-02,55.022,open.er-api/frankfurter
2026-02-03,54.459,open.er-api/frankfurter
2026-02-04,54.52,open.er-api/frankfurter
2026-02-05,54.152,open.er-api/frankfurter
2026-02-06,54.354,open.er-api/frankfurter
2026-02-09,54.783,open.er-api/frankfurter
2026-02-10,54.701,open.er-api/frankfurter
2026-02-11,54.973,open.er-api/frankfurter
2026-02-12,54.911,open.er-api/frankfurter
2026-02-13,54.578,open.er-api/frankfurter
2026-02-16,54.813,open.er-api/frankfurter
2026-02-17,54.66,open.er-api/frankfurter
2026-02-18,54.445,open.er-api/frankfurter
2026-02-19,54.329,open.er-api/frankfurter
2026-02-20,54.152,open.er-api/frankfurter
2026-02-23,54.238,open.er-api/frankfurter
2026-02-24,54.132,open.er-api/frankfurter
2026-02-25,54.327,open.er-api/frankfurter
2026-02-26,54.47,open.er-api/frankfurter
2026-02-27,54.493,open.er-api/frankfurter
2026-03-02,54.452,open.er-api/frankfurter
2026-03-03,54.322,open.er-api/frankfurter
2026-03-04,54.524,open.er-api/frankfurter
2026-03-05,54.263,open.er-api/frankfurter
2026-03-06,53.929,open.er-api/frankfurter
2026-03-09,54.516,open.er-api/frankfurter
2026-03-10,54.628,open.er-api/frankfurter
2026-03-11,54.484,open.er-api/frankfurter
2026-03-12,54.355,open.er-api/frankfurter
2026-03-13,53.842,open.er-api/frankfurter
2026-03-16,53.891,open.er-api/frankfurter
2026-03-17,54.085,open.er-api/frankfurter
2026-03-18,54.056,open.er-api/frankfurter
2026-03-19,54.106,open.er-api/frankfurter
2026-03-20,54.85,open.er-api/frankfurter
2026-03-23,54.497,open.er-api/frankfurter
2026-03-24,54.587,open.er-api/frankfurter
2026-03-25,54.666,open.er-api/frankfurter
2026-03-26,54.414,open.er-api/frankfurter
2026-03-27,54.543,open.er-api/frankfurter
2026-03-30,54.201,open.er-api/frankfurter
2026-03-31,53.776,open.er-api/frankfurter
2026-04-01,53.935,open.er-api/frankfurter
2026-04-02,53.142,open.er-api/frankfurter
2026-04-07,53.037,open.er-api/frankfurter
2026-04-08,53.827,open.er-api/frankfurter
2026-04-09,54.084,open.er-api/frankfurter
2026-04-10,54.298,open.er-api/frankfurter
2026-04-13,54.305,open.er-api/frankfurter
2026-04-14,54.912,open.er-api/frankfurter
2026-04-15,55.096,open.er-api/frankfurter
2026-04-16,54.968,open.er-api/frankfurter
2026-04-17,54.663,open.er-api/frankfurter
2026-04-20,54.717,open.er-api/frankfurter
2026-04-21,55.272,open.er-api/frankfurter
2026-04-22,55.401,open.er-api/frankfurter
2026-04-23,55.41,open.er-api/frankfurter
2026-04-24,55.364,open.er-api/frankfurter
2026-04-27,55.75,open.er-api/frankfurter
2026-04-28,55.479,open.er-api/frankfurter
2026-04-29,55.568,open.er-api/frankfurter
2026-04-30,55.655,open.er-api/frankfurter
2026-05-04,55.983,open.er-api/frankfurter
2026-05-05,56.022,open.er-api/frankfurter
2026-05-06,56.455,open.er-api/frankfurter
2026-05-07,56.355,open.er-api/frankfurter
2026-05-08,56.311,open.er-api/frankfurter
2026-05-11,56.679,open.er-api/frankfurter
2026-05-12,56.861,open.er-api/frankfurter
2026-05-13,56.752,open.er-api/frankfurter
2026-05-14,56.79,open.er-api/frankfurter
2026-05-15,56.053,open.er-api/frankfurter
2026-05-18,56.516,open.er-api/frankfurter
2026-05-19,56.429,open.er-api/frankfurter
2026-05-20,56.61,open.er-api/frankfurter
2026-05-21,56.353,open.er-api/frankfurter
2026-05-22,55.992,open.er-api/frankfurter
2026-05-25,55.949,open.er-api/frankfurter
2026-05-26,55.903,open.er-api/frankfurter
2026-05-27,56.316,open.er-api/frankfurter
2026-05-28,56.394,open.er-api/frankfurter
2026-05-29,56.754,open.er-api/frankfurter
2026-06-01,56.565,open.er-api/frankfurter
2026-06-02,56.57,open.er-api/frankfurter
2026-06-03,56.441,open.er-api/frankfurter
2026-06-04,56.334,open.er-api/frankfurter
2026-06-05,55.801,open.er-api/frankfurter
2026-06-08,55.805,open.er-api/frankfurter
2026-06-09,55.704,open.er-api/frankfurter
2026-06-10,55.3,open.er-api/frankfurter
2026-06-11,55.406,open.er-api/frankfurter
2026-06-12,55.398,open.er-api/frankfurter
2026-06-15,55.296,open.er-api/frankfurter
2026-06-16,55.074,open.er-api/frankfurter
